"","Parameter","n","mean_base","sd_base","effect_size_base","mean_end","sd_end","effect_size_end","mean_change","sd_change","effect_size_change"
"1","FGLU",132,8.22683948119398,2.44885463351138,3.35946420363777,6.72129565246151,2.07416750666223,3.24047871296446,-1.50554382873246,1.96928982141624,-0.764511049800548
"2","FGLU-AUC",103,1786.20990870413,468.646411221748,3.81142342271977,1243.88043027986,403.881902633876,3.07981224751101,-542.32947842427,429.859329055282,-1.26164408160262
"3","HOMASINS",116,65.7278691168213,45.8299131864993,1.43416961863641,84.698042033778,52.9026244448419,1.60101777411983,18.9701729169567,49.6416946810554,0.382141928047356
"4","M_VALUE",47,3.52812693659153,2.52697526740525,1.39618578072364,4.76343078485343,2.5431720852107,1.87302731598628,1.2353038482619,1.92728026230903,0.640957037967021
"5","OGIS",94,330.015003073179,91.6144520933677,3.60221554058794,366.488514576003,94.7641221072122,3.86737624352573,36.4735115028246,99.8593436791719,0.365248860637486
"6","PREDIM",94,7.79568320489472,4.99507667484126,1.56067338148367,9.31952899260223,4.28775502967714,2.17352179126333,-844981100319601,8192521441295678,-0.103140541819072
"7","QUICKI",94,0.309457442631648,0.0740861591374421,4.17699400582439,0.31823873464647,0.0657495569092718,4.84016546431802,0.00878129201482214,0.0898314846384628,0.097752943193174
"8","SI",94,0.00127421064949939,0.0021259632675937,0.599356851043634,0.00971505309828549,0.0234876407787115,0.413624049763692,0.0084408424487861,0.0236140765065542,0.357449610466169
"9","TINSUL",129,16.3790612161374,13.9573342661505,1.17350927503829,13.4270806832476,13.2829839731576,1.01084821832061,-2.95198053288981,8.48446221817427,-0.347927830542574
"10","TINSUL-AUC",102,6364.59155248665,5689.54310226274,1.11864721614561,4551.94346636829,3776.06088785972,1.20547406452133,-1812.64808611836,3466.64042096066,-0.522883214295426
